le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j2): 47.23
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j3): 41.23
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j0): 23.23
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j1): 38.23
le2m | 19/12/2015 - 10:34:36 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:34:36 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:34:42 | INFO | Dim-Latitude-E6520 (j0) - automatique True
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:34:45 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:34:45 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:34:45 | INFO | 201512191008_g_0    4.75
le2m | 19/12/2015 - 10:34:45 | INFO | Période 6
le2m | 19/12/2015 - 10:34:45 | INFO | Période 6
le2m | 19/12/2015 - 10:34:45 | INFO | run_func: newperiod
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j0) Ready for period 6
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j1) Ready for period 6
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j3) Ready for period 6
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j2) Ready for period 6
le2m | 19/12/2015 - 10:34:45 | INFO | run_step: Décision
le2m | 19/12/2015 - 10:34:45 | INFO | DÉCISION
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j3): 2
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j1): 0
le2m | 19/12/2015 - 10:34:45 | INFO | Dim-Latitude-E6520 (j2): 2
le2m | 19/12/2015 - 10:34:52 | INFO | Dim-Latitude-E6520 (j0): 8
le2m | 19/12/2015 - 10:34:52 | INFO | Ok Décision
le2m | 19/12/2015 - 10:34:52 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:34:52 | INFO | G0: 12
le2m | 19/12/2015 - 10:34:52 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:34:52 | INFO | GAINS
le2m | 19/12/2015 - 10:34:52 | INFO | Dim-Latitude-E6520 (j2): 33.3
le2m | 19/12/2015 - 10:34:52 | INFO | Dim-Latitude-E6520 (j3): 33.3
le2m | 19/12/2015 - 10:34:52 | INFO | Dim-Latitude-E6520 (j0): 51.3
le2m | 19/12/2015 - 10:34:52 | INFO | Dim-Latitude-E6520 (j1): 27.3
le2m | 19/12/2015 - 10:34:52 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:34:52 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:34:53 | INFO | Dim-Latitude-E6520 (j2): Ok
